as_of_date,last_updated,theme_id,theme_name,core_event_id,lifecycle_state,previous_state,state_transition,market_leader,theme_leader,capacity_core,direct_cores,diffusion_breadth,flow_evidence,attention_evidence,crowding_evidence,marginal_efficiency,potential_next_buyers,potential_sellers,confirmation_condition,invalidation,evidence_summary,data_quality,protocol_version
2026-08-24,2026-08-24/08:00,THM-新一代通信网,新一代通信网与AI光互连,EVT-20260824-01,reacceleration,unknown,unknown->reacceleration,300308中际旭创,300308中际旭创,300308中际旭创|300502新易盛,600487亨通光电|600498烽火通信|600522中天科技,8月21日通信行业+2.47%；CPO与光纤方向多点活跃,供应商口径显示通信板块参与强度显著上升；仅作交易参与代理、不视为机构身份,国务院8月21日收盘后部署新一代通信网络；中际旭创业绩与阿里AI资本开支形成周末注意力共振,CPO核心成交额高、绝对涨幅与价格位置偏高；存在利好兑现风险,待09:45价格反应验证,政策与AI资本开支映射资金；核心趋势跟随资金,周五反弹获利盘；高开兑现盘；高位拥挤筹码,09:45前中际旭创/新易盛保持层级；亨通光电相对烽火通信/中天科技不再落后；板块广度未明显收缩,核心高开后持续回落并跌破8月21日收盘；容量核心弱而尾部脉冲；或通信板块广度显著转弱,A类政策原文；A/B类公司业绩与融资公告；8月21日通信板块量价结构,A/B,OpportunityDiscovery-v1.1
2026-08-24,2026-08-24/08:00,THM-贵金属铜钨,贵金属、铜与钨资源,EVT-20260824-02,reacceleration,unknown,unknown->reacceleration,002716湖南白银,002716湖南白银,601899紫金矿业,603993洛阳钼业|000657中钨高新,8月21日有色金属行业+2.72%；118只上涨、6只涨停,板块广度和核心成交同步改善；仅描述可观察参与强度、不推断资金身份,周五A股资源股走强；随后海外黄金、白银与铜相关资产继续上涨；中钨高新业绩提供个股增量,白银方向已出现涨停和海外加速；拥挤高于铜钨容量核心,待09:45确认容量核心的边际效率,商品趋势、避险需求及容量轮动资金,周五获利盘；白银急涨后的兑现盘；商品反向波动资金,09:45紫金矿业、洛阳钼业和中钨高新承接有效；强势不只集中于白银高弹性尾部,海外商品回落且A股容量核心弱于指数；或仅白银高开冲高而资源板块广度收缩,8月21日有色板块广度；海外周五金银与铜相关资产表现；中钨高新半年度业绩,B,OpportunityDiscovery-v1.1
2026-08-24,2026-08-24/08:00,THM-油气,油气与高股息能源,EVT-20260824-03,ignition,unknown,unknown->ignition,,300483首华燃气,601857中国石油,600028中国石化|300483首华燃气,盘前尚无A股扩散证据；需观察三桶油与油服/燃气联动,海外原油周线走强；A股周五并非最强主线；当前仅为外盘与业绩线索,中国石化半年度业绩与分红；首华燃气利润高增；海外原油周线涨幅扩大,商品位置偏高并含事件溢价；首华燃气存在单一业绩脉冲风险,待09:45验证是否形成板块而非个股,能源趋势资金；高股息配置资金；业绩重估资金,油价高位兑现盘；业绩高开卖盘；成本端担忧资金,09:45中国石油/中国海油/中国石化形成容量层级；首华燃气高开后保持成交效率且油服燃气出现扩散,原油电子盘反转；容量核心低开走弱；或仅首华燃气单点脉冲而板块无响应,海外周五原油表现；8月23日公司公告汇总；A股广度待开盘验证,B/C,OpportunityDiscovery-v1.1
2026-08-24,2026-08-24/08:00,THM-医药高位分歧,创新药与医药高位分歧,EVT-20260824-04,divergence,unknown,unknown->divergence,,688185康希诺,,,8月21日医药生物行业-3.48%；前期强势方向尾部普遍回撤,板块广度与中位数转弱；未见可确认的持续增量参与,前期高热度仍在；但周末未发现足以覆盖板块退潮信号的新增主线证据,核心高换手、尾部亏钱效应扩大；追涨风险高,下降,仅限核心出现弱转强后的回流资金,高位获利盘；尾部套牢盘；从医药转向通信/资源的轮动资金,09:45核心能吸收抛压；板块中位数止跌且领涨层级重新集中,核心继续走弱、尾部跌幅扩大或反弹无量无广度；则转为retreat,8月21日医药行业跌幅与板块内部结构；周末缺乏足以重置状态的A类增量,B,OpportunityDiscovery-v1.1
2026-08-24,2026-08-24/09:57,THM-新一代通信网,新一代通信网与AI光互连,EVT-20260824-01,divergence,reacceleration,reacceleration->divergence,300308中际旭创,300308中际旭创,300308中际旭创|300502新易盛,600487亨通光电|600498烽火通信|600522中天科技,中际旭创-5.53%且新易盛-5.46%；亨通-3.63%、烽火-3.78%、中天-2.66%，核心与扩散同步回落,双源量价显示高开或平开后持续下压并接近日内低位；只描述可观察成交与价格冲击,业绩政策与AI资本开支注意力仍高,high,negative,若10:30核心收复前收且成交冲击减弱的回流资金,高成交获利盘与利好兑现盘,10:30中际旭创收复943或新易盛收复442且亨通烽火中天至少两只明显修复,10:30核心仍在前收下方且通信扩散股维持弱势,09:56腾讯与新浪当日量价一致；Good News + Weak Response，先定义开盘分歧不外推全天,B,DailyExecution-v1.4
2026-08-24,2026-08-24/09:57,THM-贵金属铜钨,贵金属与铜钨资源,EVT-20260824-02,reacceleration,reacceleration,reacceleration->reacceleration,002716湖南白银,002716湖南白银,601899紫金矿业|603993洛阳钼业,000657中钨高新|600988赤峰黄金,白银有色涨停、湖南白银+7.39%、赤峰黄金+2.47%、洛阳钼业+2.52%、紫金矿业+0.52%；中钨高新-1.69%,资源容量与高弹性多数逆势为正；未使用供应商资金身份推断,白银与资源注意力高,medium_high,mixed_positive,商品趋势与风险偏好切换资金,白银连续加速后的兑现盘；中钨业绩兑现盘,10:30洛阳钼业守住19.00且紫金矿业维持正收益；资源广度不显著收缩,洛阳钼业跌回18.62且紫金转负；或仅白银高弹性维持而容量核心同步走弱,09:56双源当日量价；资源为当前逆势主线但白银端拥挤，不追高,B,DailyExecution-v1.4
2026-08-24,2026-08-24/09:57,THM-油气,油气与炼化,EVT-20260824-03,divergence,ignition,ignition->divergence,600028中国石化,600028中国石化,600028中国石化,300483首华燃气|603619中曼石油,中国石化+3.73%近高，但中国石油-0.36%、中国海油-1.09%、中曼石油-3.45%、首华燃气-0.04%，未形成容量与后排扩散,中国石化单票价格冲击强；板块其余核心缺乏同步承接,油价与业绩注意力仍在,low_medium,low,若10:30三桶油或油服燃气出现同步修复的扩散资金,首华燃气冲高兑现盘与油气高位获利盘,10:30中国石化守住5.25且中国石油或中国海油至少一只翻红，同时首华不再回落,中国石化跌破5.10或继续只有单票强而板块核心普遍为负,09:57板块代理篮子显示单票脉冲；四道门槛中的扩散门槛未通过,B,DailyExecution-v1.4
"2026-08-24","2026-08-24/14:56","THM-新一代通信网","新一代通信网与AI光互连","EVT-20260824-01","retreat","divergence","divergence->retreat","300308中际旭创","300308中际旭创|300502新易盛","300308中际旭创|300502新易盛","600487亨通光电|600498烽火通信|600522中天科技","中际旭创-7.42%、新易盛-6.79%、亨通-2.78%、烽火-4.18%、中天-2.63%，核心与扩散全天同步走弱","双源量价显示高关注与高成交未转化为价格修复；核心仍远低于前收","业绩、政策与AI资本开支注意力极高","high","down","下一交易日分歧后回流核心资金","利好兑现盘、高成交获利盘与趋势去风险资金","核心收复前收且至少两只扩散核心同步修复","核心继续弱于前收且反抽不回核心","14:53双源当日量价一致；Good News + Weak Response全天确认，题材由分歧转退潮","A/B","DailyExecution-v1.5"
"2026-08-24","2026-08-24/14:56","THM-贵金属铜钨","贵金属与铜钨资源","EVT-20260824-02","divergence","reacceleration","reacceleration->divergence","002716湖南白银","002716湖南白银","601899紫金矿业|603993洛阳钼业","603993洛阳钼业|000657中钨高新","湖南白银涨停、洛阳钼业+1.93%，但紫金矿业-0.55%、中钨高新-2.00%，高弹性与容量核心明显分化","白银高弹性持续，洛钼承接尚在；容量与直接核心未形成一致推进","资源与白银注意力高","high","mixed_down","次日容量核心重新共振与商品趋势资金","白银涨停兑现盘、容量高开回落盘与商品反向波动资金","洛阳钼业守住18.72至18.62且紫金重新转强","洛阳钼业跌破18.62且紫金、赤峰等容量核心同步弱","14:53双源量价；资源仍是逆势方向但内部由再加速转分歧，白银端拥挤","A/B","DailyExecution-v1.5"
"2026-08-24","2026-08-24/14:56","THM-油气","油气与炼化","EVT-20260824-03","divergence","divergence","divergence->divergence","600028中国石化","600028中国石化","600028中国石化","300483首华燃气|601857中国石油|600938中国海油","中国石化+4.51%，首华燃气+1.00%，但中国石油-0.45%、中国海油-0.68%，未形成三桶油与油服扩散","中国石化单票承接强，其他容量核心仍未同步","业绩、分红与高股息注意力上升","medium","low","下一交易日三桶油与油服燃气扩散资金","单票获利盘、炼化利润率担忧与油价反向资金","中国石化守住5.25且中国石油或中国海油转强并出现扩散","中国石化跌破5.10或持续只有单票强","14:53双源量价；单一容量核心正向Surprise延续，但扩散门槛全天未通过","A/B","DailyExecution-v1.5"
