as_of_date,last_updated,code,name,portfolio_role,position_shares,event_id,theme_id,candidate_status,stock_role,leadership_change,causal_link,causal_strength,lifecycle_state,event_quality,flow_evidence,attention_evidence,crowding_evidence,price_impact,next_buyer,potential_seller,invalidation,replacement_core,priority,evidence_summary,data_quality,protocol_version
2026-08-24,2026-08-24/08:00,603861,白云电器,holding,1000,,,holding,unclassified,unknown,暂未找到周末增量事件与今日主线的直接因果映射,unknown,cold,low,8月21日收盘12.12；价格反弹但缺乏板块级确认,注意力较低,unknown,周五反弹；尚未验证持续性,电网设备轮动资金,前期套牢盘与反弹减仓盘,跌破11.66且同类设备股不弱,,normal,持仓纳入09:45比较；但不因无事件强行归入新主线,C,OpportunityDiscovery-v1.1
2026-08-24,2026-08-24/08:00,300421,力星股份,holding,200,,,holding,follower,unknown,机器人/轴承映射存在但周末无新增强事件,weak,cold,low,8月21日收盘16.43；涨幅温和,注意力较低,low,弱修复,机器人链轮动资金,存量反弹筹码,跌破15.92且机器人核心保持强势,,low,无新催化；主要用于检验持仓机会成本,C,OpportunityDiscovery-v1.1
2026-08-24,2026-08-24/08:00,603993,洛阳钼业,holding,200,EVT-20260824-02,THM-贵金属铜钨,holding,capacity_core,upgrade,铜钴钼资源与金属价格、供给和产量变化直接相关,strong,reacceleration,high,8月21日有色板块广度改善；个股收18.62、+1.92%,资源主线与业绩关注度高,medium,周五正向且非极端加速,商品趋势与容量轮动资金,周五获利盘与商品反向波动资金,跌破18.19且紫金矿业/中钨高新明显更强,601899紫金矿业,high,半年度利润同比增长且资源主线延续；09:45验证容量承接,A/B,OpportunityDiscovery-v1.1
2026-08-24,2026-08-24/08:00,002150,正泰电源,holding,100,,THM-光储,holding,follower,unknown,与光储存在业务映射；但周末无公司级新增事件,medium,divergence,medium,8月21日收22.92、+2.78%；价格修复,周五光伏方向有活跃但非周末最强增量,medium,正向修复；持续性待定,光储轮动资金,反弹兑现盘,跌破21.95且光储核心不弱,,normal,保留持仓观察；不抬升为盘前核心候选,B/C,OpportunityDiscovery-v1.1
2026-08-24,2026-08-24/08:00,600487,亨通光电,holding,200,EVT-20260824-01,THM-新一代通信网,holding,direct_core,upgrade,光纤光缆、海洋通信及网络基础设施与新一代通信网络直接相关,strong,reacceleration,high,8月21日收62.18、+0.26%；显著弱于通信行业+2.47%,周末政策与AI资本开支提升关注度,medium,周五价格反应落后主线,政策映射与光网络扩散资金,63元附近套牢盘与周五落后后的调仓盘,跌破60.89且烽火通信/中天科技显著更强,300308中际旭创|300502新易盛|600522中天科技,high,事件映射强但周五相对弱；09:45必须用价格反应确认；不把政策直接等同加仓,A/B,OpportunityDiscovery-v1.1
2026-08-24,2026-08-24/08:00,603179,新泉股份,recent_exit,0,,THM-汽车零部件,recent_exit,follower,unknown,汽车内饰零部件受行业景气影响；周末限制性股票授予增加供给线索,medium,cold,medium,8月21日收36.73、反弹；但周线仍弱,近期清仓后的反事实关注较高,medium,清仓后反弹；尚未越过重定价门槛,汽车零部件板块扩散资金,限制性股票供给预期与反弹兑现盘,不能站稳37.87或板块无广度,,normal,只做重新定价观察；不得因卖飞情绪追买,B/C,OpportunityDiscovery-v1.1
2026-08-24,2026-08-24/08:00,688111,金山办公,recent_exit,0,,THM-AI应用,rejected,direct_core,downgrade,办公软件与AI应用直接相关；但本次周末增量主要落在AI基础设施而非应用兑现,medium,divergence,medium,8月21日收240.50；继续弱于预期,中报标题增速高但单季度利润承压；注意力质量分化,medium,好消息未形成强价格反应,应用端业绩改善与产品付费重估资金,业绩预期落差与清仓后反弹卖盘,不能收复243.14并出现相对强势,300308中际旭创,low,本轮不列入盘前候选池；保留近期退出后的反事实跟踪,B,OpportunityDiscovery-v1.1
2026-08-24,2026-08-24/08:00,300308,中际旭创,nonholding,0,EVT-20260824-01,THM-新一代通信网,trial_candidate,theme_leader,maintain,高速光模块需求与AI网络资本开支直接相关,strong,reacceleration,high,8月21日CPO核心放量上涨并处于高成交层级,收盘后高增长业绩与周末AI资本开支继续聚焦注意力,high,周五已上涨；周一利好反应尚未验证,业绩重估与AI基础设施配置资金,周五高成交获利盘与高开兑现盘,若高开超过约6%但09:45前跌回8月21日收盘附近；或通信广度明显收缩,300502新易盛,highest,新事件首次进入盘前；按协议上限仅为trial_candidate；需验证好消息能否继续推高价格,A/B,OpportunityDiscovery-v1.1
2026-08-24,2026-08-24/08:00,300502,新易盛,nonholding,0,EVT-20260824-01,THM-新一代通信网,core_candidate,theme_leader,maintain,高速光模块与AI数据中心互连直接相关,strong,reacceleration,high,8月21日涨幅逾6%且成交活跃,与中际旭创业绩、政策和AI资本开支形成同主题关注,high,周五领先；边际效率待开盘确认,趋势延续与主线集中资金,周五获利盘与高位拥挤资金,冲高回落并持续弱于中际旭创；或CPO仅双龙头活跃无扩散,300308中际旭创,high,延续主题已有周五证据；可列核心候选；但09:45仍须重新确认,B,OpportunityDiscovery-v1.1
2026-08-24,2026-08-24/08:00,601899,紫金矿业,nonholding,0,EVT-20260824-02,THM-贵金属铜钨,core_candidate,capacity_core,maintain,铜金资源与海外金属价格和供给变化直接相关,strong,reacceleration,high,8月21日有色板块广度强；容量核心参与可观察,海外金银继续走强；资源注意力延续,medium,未见尾部式极端加速,商品趋势和容量配置资金,周五获利盘与商品回撤资金,高开后不能守住8月21日收盘且资源广度收缩,603993洛阳钼业,high,以容量核心验证资源行情是否从白银高弹性扩散,B,OpportunityDiscovery-v1.1
2026-08-24,2026-08-24/08:00,000657,中钨高新,nonholding,0,EVT-20260824-02,THM-贵金属铜钨,trial_candidate,direct_core,upgrade,钨资源与硬质合金业务直接受益于钨产业景气和业绩增长,strong,reacceleration,high,8月21日收68.14、+5.73%；已有强价格反应,周末半年度收入与利润高增长进一步提升关注,medium_high,周五已大涨；新增业绩可能带来兑现压力,业绩重估与钨资源扩散资金,周五获利盘与利好兑现盘,好消息下09:45不能守住68.14；或明显弱于紫金矿业/洛阳钼业,601899紫金矿业,high,新披露业绩尚未经过周一价格验证；按协议仅列trial_candidate,B,OpportunityDiscovery-v1.1
2026-08-24,2026-08-24/08:00,002716,湖南白银,nonholding,0,EVT-20260824-02,THM-贵金属铜钨,watch,theme_leader,maintain,白银价格上涨与公司资源弹性直接相关,strong,reacceleration,medium_high,8月21日涨停；板块领涨,海外白银周五继续上涨,high,价格已垂直加速,高弹性趋势资金,涨停获利盘与高开兑现盘,高开过度但紫金矿业/洛阳钼业等容量核心不跟；或开板后成交放大而价格不前进,601899紫金矿业,normal,只作为情绪与拥挤标尺；不因海外上涨直接追高,B,OpportunityDiscovery-v1.1
2026-08-24,2026-08-24/08:00,300483,首华燃气,nonholding,0,EVT-20260824-03,THM-油气,trial_candidate,direct_core,upgrade,天然气业务与能源价格相关；业绩高增提供公司级重估线索,medium,ignition,medium_high,盘前尚无周一价格验证,周末利润同比大幅增长；注意力冲击显著,unknown,尚未验证,业绩重估和油气扩散资金,高开兑现盘与业绩质量质疑资金,高开后09:45不能维持有效承接；或三桶油/油服燃气无联动,600028中国石化,normal,单一公司业绩不能直接证明油气主线；需用板块扩散确认,B/C,OpportunityDiscovery-v1.1
2026-08-24,2026-08-24/08:00,600028,中国石化,nonholding,0,EVT-20260824-03,THM-油气,trial_candidate,capacity_core,maintain,炼化销售、上游资源与油价及分红预期直接相关,strong,ignition,medium_high,8月21日价格偏弱；周末业绩尚未反映,半年度净利润增长与分红提升关注,low_medium,利好前价格未领先,高股息配置与能源容量资金,炼化利润率担忧与业绩兑现盘,09:45不能收复并保持5.10附近；且弱于中国石油/中国海油,601857中国石油,normal,用作油气容量验证；不把业绩公告直接视为买入信号,B,OpportunityDiscovery-v1.1
2026-08-24,2026-08-24/09:57,603861,白云电器,holding,1000,,,holding,unclassified,maintain,无09:00后新增事件与今日主线直接映射,unknown,cold,low,11.95/-0.08%；低开后修复且明显强于深成指和创业板,注意力较低,unknown,relative_resilience,电网设备轮动资金,反弹减仓盘,跌破11.66且同类设备股不弱,,normal,双源09:56量价一致；相对抗跌但缺少题材共振，继续持有不加仓,A/B,DailyExecution-v1.4
2026-08-24,2026-08-24/09:57,300421,力星股份,holding,200,,,holding,follower,maintain,机器人轴承映射存在但无新增强事件,weak,cold,low,16.27/-0.97%；平开后回落但仍强于创业板,注意力较低,low,relative_resilience_with_fade,机器人轮动资金,存量反弹筹码,跌破15.92且机器人核心保持强势,,low,没有独立催化与扩散，维持观察仓，不因相对抗跌升级,A/B,DailyExecution-v1.4
2026-08-24,2026-08-24/09:57,603993,洛阳钼业,holding,200,EVT-20260824-02,THM-贵金属铜钨,holding,capacity_core,maintain,铜钴钼资源与商品及产量变化直接相关,strong,reacceleration,high,19.11/+2.63%；高开后保持正收益并接近日高，强于紫金矿业,资源主线与业绩注意力高,medium,positive_surprise,商品趋势与容量轮动资金,前一交易日获利盘,跌破18.62且紫金矿业和赤峰黄金仍强,601899紫金矿业,high,资源容量确认最强持仓；先持有，10:30确认19.00承接后再评估是否加100股,A/B,DailyExecution-v1.4
2026-08-24,2026-08-24/09:57,002150,正泰电源,holding,100,,THM-光储,holding,follower,maintain,与光储有业务映射但无新增事件,medium,divergence,medium,22.53/-1.62%；盘中冲至23.40后回落接近日低,注意力一般,medium,negative_intraday_reversal,光储轮动资金,反弹兑现盘,跌破21.95且光储核心不弱,,normal,二元100股仓位提高操作阈值；暂持有不追涨不清仓,A/B,DailyExecution-v1.4
2026-08-24,2026-08-24/09:57,600487,亨通光电,holding,200,EVT-20260824-01,THM-新一代通信网,holding,direct_core,downgrade,光网络基础设施与新一代通信网直接相关,strong,divergence,high,59.95/-3.59%；平开后跌破60.89且接近日低；弱于中天科技但强于两只CPO龙头,政策与AI资本开支注意力高,medium,negative_surprise,若10:30收复60.89的回流资金,高成交获利盘与政策兑现盘,10:30仍低于60.89且中天科技相对更强,300308中际旭创|300502新易盛|600522中天科技,highest,角色由升级转为降级观察；09:45节点不直接定全天，10:30确认后减100股,A/B,DailyExecution-v1.4
2026-08-24,2026-08-24/09:57,603179,新泉股份,recent_exit,0,,THM-汽车零部件,recent_exit,follower,maintain,汽车零部件映射存在但无新增强事件,medium,cold,medium,37.04/+0.84%；最高37.98短暂越过37.87后未站稳,清仓后反事实关注较高,medium,failed_repricing_acceptance,汽车零部件扩散资金,反弹兑现盘,10:30放量站稳37.87且板块广度确认,,normal,重新定价门槛只被盘中触及未被接受；不因卖飞焦虑回补,A/B,DailyExecution-v1.4
2026-08-24,2026-08-24/09:57,688111,金山办公,recent_exit,0,,THM-AI应用,rejected,direct_core,maintain,办公软件与AI应用直接相关但本轮事件偏基础设施,medium,divergence,medium,236.63/-1.61%；未收复243.14，仍弱于理论重估预期,中报与AI注意力存在但质量分化,medium,weak_response,应用端产品与付费重估资金,业绩兑现与退出后反弹卖盘,收复243.14并持续强于软件板块,300308中际旭创,low,清仓逻辑尚未被证伪；不回补,A/B,DailyExecution-v1.4
2026-08-24,2026-08-24/09:57,300308,中际旭创,nonholding,0,EVT-20260824-01,THM-新一代通信网,rejected,theme_leader,downgrade,高速光模块与AI资本开支直接相关,strong,divergence,high,890.75/-5.54%；业绩高增与分红后平开冲高至949.73再快速跌破943前收,业绩政策与AI资本开支注意力极高,high,good_news_weak_response,若10:30重新收复943的重估资金,高成交获利盘与利好兑现盘,10:30收复943且通信扩散同步修复,300502新易盛,highest,高质量事件未通过开盘承接门槛；当日候选淘汰，不追跌买入,A/B,DailyExecution-v1.4
2026-08-24,2026-08-24/09:57,300502,新易盛,nonholding,0,EVT-20260824-01,THM-新一代通信网,rejected,theme_leader,downgrade,高速光模块与AI互连直接相关,strong,divergence,high,417.59/-5.52%；高开冲至450后跌破442前收并接近日低,通信主题注意力极高,high,negative_surprise,若10:30收复442的主线回流资金,周五获利盘与高位拥挤资金,10:30收复442且至少两只扩散核心同步修复,300308中际旭创,high,未通过高开接受与扩散门槛；当日核心候选淘汰,A/B,DailyExecution-v1.4
2026-08-24,2026-08-24/09:57,601899,紫金矿业,nonholding,0,EVT-20260824-02,THM-贵金属铜钨,core_candidate,capacity_core,maintain,铜金资源与海外金属价格及供给变化直接相关,strong,reacceleration,high,34.92/+0.52%；高开后回落但在风险偏好下降时保持正收益,资源注意力高,medium,positive_relative_reaction,商品趋势与容量配置资金,高开兑现盘,跌破34.44且洛阳钼业和赤峰黄金同步转弱,603993洛阳钼业,high,容量确认有效但现有洛阳钼业更强且已有同题材敞口；保留候选不新开仓,A/B,DailyExecution-v1.4
2026-08-24,2026-08-24/09:57,000657,中钨高新,nonholding,0,EVT-20260824-02,THM-贵金属铜钨,rejected,direct_core,downgrade,钨资源与业绩增长直接相关,strong,reacceleration,high,66.97/-1.72%；业绩关注下不能守住68.14且弱于洛阳钼业和紫金矿业,业绩与资源注意力高,medium_high,good_news_weak_response,若10:30收复68.14的业绩重估资金,周五获利盘与利好兑现盘,10:30收复68.14且不再弱于容量核心,601899紫金矿业,high,未通过开盘反应门槛；当日试错候选淘汰,A/B,DailyExecution-v1.4
2026-08-24,2026-08-24/09:57,002716,湖南白银,nonholding,0,EVT-20260824-02,THM-贵金属铜钨,watch,theme_leader,maintain,白银价格上涨与公司资源弹性直接相关,strong,crowding,medium_high,11.19/+7.39%；连续大涨并维持高位，但成交与注意力拥挤,白银注意力极高,high,positive_but_crowded,高弹性趋势资金,连续上涨获利盘与高开兑现盘,跌破10.80且容量核心同步走弱,601899紫金矿业,normal,作为情绪标尺保留；不在拥挤阶段追高,A/B,DailyExecution-v1.4
