discovery_date,time,discovery_protocol_version,event_id,theme_id,code,name,portfolio_role,opportunity_route,candidate_status,stock_role,lifecycle_state,event_quality,causal_strength,flow_evidence,attention_evidence,crowding_evidence,price_impact,expected_reaction,next_buyer,invalidation,decision,target_weight,actual_action,T1_return,T3_return,T5_return,MFE,MAE,outcome,rejection_reason,notes
2026-08-24,08:00,OpportunityDiscovery-v1.1,EVT-20260824-01,THM-新一代通信网,300308,中际旭创,nonholding,new_event_ignition,trial_candidate,theme_leader,reacceleration,high,strong,周五CPO核心放量活跃,业绩、政策、AI资本开支共振,high,周一待验证,强势高开但成交效率不恶化；或平开后快速获得承接,业绩重估与AI基础设施配置资金,高开过度后跌回周五收盘附近或通信广度收缩,进入09:45重点验证池,,,,,,,,,,新事件首次出现；状态上限trial_candidate
2026-08-24,08:00,OpportunityDiscovery-v1.1,EVT-20260824-01,THM-新一代通信网,300502,新易盛,nonholding,mainline_continuation,core_candidate,theme_leader,reacceleration,high,strong,周五涨幅与成交均领先,主题注意力延续,high,周五已领先,保持与中际旭创的双核心层级且出现板块扩散,趋势延续资金,持续弱于中际旭创或双核心外无扩散,核心候选；09:45重新确认,,,,,,,,,,延续性候选；不构成买入指令
2026-08-24,08:00,OpportunityDiscovery-v1.1,EVT-20260824-01,THM-新一代通信网,600487,亨通光电,holding,holding_upgrade,holding,direct_core,reacceleration,high,strong,周五明显弱于通信板块,周末政策提升关注,medium,周五相对弱,相对烽火通信/中天科技恢复强度并守住承接,政策映射与光网络扩散资金,跌破60.89且同类直接核心更强,持仓高优先观察；不是加仓指令,,,,,,,,,,新事件使持仓角色从未分类升级为direct_core
2026-08-24,08:00,OpportunityDiscovery-v1.1,EVT-20260824-02,THM-贵金属铜钨,601899,紫金矿业,nonholding,capacity_validation,core_candidate,capacity_core,reacceleration,high,strong,周五资源板块广度改善,海外金银继续走强,medium,容量反应待确认,守住周五收盘并带动铜金容量核心扩散,商品趋势和容量配置资金,容量核心弱而仅白银尾部冲高,核心候选；检验资源行情质量,,,,,,,,,,优先看容量而不是追最高弹性
2026-08-24,08:00,OpportunityDiscovery-v1.1,EVT-20260824-02,THM-贵金属铜钨,603993,洛阳钼业,holding,holding_upgrade,holding,capacity_core,reacceleration,high,strong,周五+1.92%且有色板块强,业绩与海外商品延续,medium,正向但非极端,不弱于紫金矿业且能消化18.6附近供给,商品趋势与容量轮动资金,跌破18.19且同主题核心更强,持仓重点验证；不是加仓指令,,,,,,,,,,角色从未分类升级为资源容量核心
2026-08-24,08:00,OpportunityDiscovery-v1.1,EVT-20260824-02,THM-贵金属铜钨,000657,中钨高新,nonholding,earnings_reprice,trial_candidate,direct_core,reacceleration,high,strong,周五+5.73%,周末业绩高增,medium_high,利好前已上涨,好消息下仍能保持价格进展而非放量滞涨,业绩重估与钨资源扩散资金,09:45跌回68.14下方或弱于容量核心,进入09:45验证池,,,,,,,,,,新业绩未经周一价格验证；上限trial_candidate
2026-08-24,08:00,OpportunityDiscovery-v1.1,EVT-20260824-02,THM-贵金属铜钨,002716,湖南白银,nonholding,crowding_benchmark,watch,theme_leader,reacceleration,medium_high,strong,周五涨停,海外白银延续上涨,high,已加速,强势但容量核心同步,高弹性趋势资金,高开冲高回落且容量核心不跟,仅作情绪与拥挤标尺,,,,,,,,,,禁止把外盘上涨直接转成追高指令
2026-08-24,08:00,OpportunityDiscovery-v1.1,EVT-20260824-03,THM-油气,300483,首华燃气,nonholding,earnings_ignition,trial_candidate,direct_core,ignition,medium_high,medium,A股扩散尚未验证,周末利润高增,unknown,周一待验证,高开获得承接且油气链出现扩散,业绩重估和油气扩散资金,仅个股脉冲、板块不跟或高开快速回落,进入次级验证池,,,,,,,,,,单一业绩事件需板块确认
2026-08-24,08:00,OpportunityDiscovery-v1.1,EVT-20260824-03,THM-油气,600028,中国石化,nonholding,earnings_capacity_validation,trial_candidate,capacity_core,ignition,medium_high,strong,周五价格偏弱,业绩与分红提升关注,low_medium,周一待验证,收复5.10附近并不弱于三桶油同类,高股息与能源容量资金,业绩利好下仍弱于同类,进入次级验证池,,,,,,,,,,用容量反应判断油气是否成线
2026-08-24,08:00,OpportunityDiscovery-v1.1,,THM-AI应用,688111,金山办公,recent_exit,important_rejection,rejected,direct_core,divergence,medium,medium,周五价格继续偏弱,中报标题增速与单季度质量分化,medium,好消息弱反应,需先收复243.14并转为相对强,应用端业绩改善资金,不能收复243.14或AI应用无广度,不纳入今日候选池,,,,,,,,,好消息弱反应且周末增量偏向AI基础设施,保留清仓后的反事实观察
